# Dénomination en français;Designation in English;Denominación en español;Dénomination abrégée en français;Short designation in English;Denominación abreviada en español;Administrative Region;comment;Date of Entry;Language
Bhoutan (Royaume du);Bhutan (Kingdom of);Bhután (Reino de);Bhoutan;Bhutan;Bhután;E;BTN;15.09.1988;E
Bolivie (République de);Bolivia (Republic of);Bolivia (República de);Bolivie;Bolivia;Bolivia;A;BOL;01.06.1907;S
Bosnie-Herzégovine;Bosnia and Herzegovina;Bosnia y Herzegovina;Bosnie-Herzégovine;Bosnia and Herzegovina;Bosnia y Herzegovina;B;BIH;20.10.1992;E
Botswana (République du);Botswana (Republic of);Botswana (República de);Botswana;Botswana;Botswana;D;BOT;02.04.1968;E
Brésil (République fédérative du);Brazil (Federative Republic of);Brasil (República Federativa del);Brésil;Brazil;Brasil;A;B;04.07.1877;E
Brunéi Darussalam;Brunei Darussalam;Brunei Darussalam;Brunéi Darussalam;Brunei Darussalam;Brunei Darussalam;E;BRU;19.11.1984;E
Bulgarie (République de);Bulgaria (Republic of);Bulgaria (República de);Bulgarie;Bulgaria;Bulgaria;C;BUL;18.09.1880;E
Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;Burkina Faso;D;BFA;16.01.1962;F
Burundi (République du);Burundi (Republic of);Burundi (República de);Burundi;Burundi;Burundi;D;BDI;16.02.1963;F
Cambodge (Royaume du);Cambodia (Kingdom of);Camboya (Reino de);Cambodge;Cambodia;Camboya;E;CBG;10.04.1952;E
Cameroun (République du);Cameroon (Republic of);Camerún (República de);Cameroun;Cameroon;Camerún;D;CME;22.12.1960;F
Canada;Canada;Canadá;Canada;Canada;Canadá;A;CAN;01.07.1908;E
Cap-Vert (République du);Cape Verde (Republic of);Cabo Verde (República de);Cap-Vert;Cape Verde;Cabo Verde;D;CPV;10.09.1976;F
Centrafricaine (République);Central African Republic;Centroafricana (República);Centrafricaine (Rép.);Central African Rep.;Centroafricana (Rep.);D;CAF;02.12.1960;F
Tchad (République du);Chad (Republic of);Chad (República del);Tchad;Chad;Chad;D;TCD;25.11.1960;F
Chili;Chile;Chile;Chili;Chile;Chile;A;CHL;01.01.1908;S
Chine (République populaire de);China (People's Republic of);China (República Popular de);Chine;China;China;E;CHN;01.09.1920;E
Colombie (République de);Colombia (Republic of);Colombia (República de);Colombie;Colombia;Colombia;A;CLM;25.08.1914;S
Comores (Union des);Comoros (Union of the);Comoras (Unión de las);Comores;Comoros;Comoras;D;COM;05.01.1976;F
Congo (République du);Congo (Republic of the);Congo (República del);Congo (Rép. du);Congo (Rep. of the);Congo (Rep. del);D;COG;13.12.1960;F
